Id,SalePrice
1,176272.242295188
2,173168.900944201
3,172768.408054839
4,187438.677613858
5,172225.137248413
6,218230.338486893
7,163587.074138191
8,176326.781470307
9,194520.158256977
10,147101.051786462
11,97415.8795451103
12,173828.327104495
13,240986.520075526
14,137218.208919523
15,129923.562026334
16,178454.833724516
17,207106.347241131
18,108569.393859872
19,190530.597588395
20,197438.790495711
21,166697.236761334
22,173968.223355407
23,140969.215990673
24,182706.189457276
25,122279.165565053
26,228227.780648353
27,217300.571347462
28,181233.526444234
29,159670.736040065
30,198186.379995185
31,168788.797503156
32,144261.904861345
33,149015.599450148
34,141434.420136033
35,212157.535795482
36,129408.130085581
37,235877.897454894
38,155828.986422582
39,130576.738816689
40,182299.101263033
41,219078.901876144
42,127211.293299693
43,133889.947342138
44,125125.105809361
45,178261.73492894
46,180874.756562677
47,112243.969984515
48,125258.467732662
49,181952.907292027
50,205277.482561539
51,197988.882816519
52,198804.401119862
53,90396.8219188433
54,152589.767965212
55,197602.763427621
56,177442.32010838
57,156570.461570935
58,176833.709670579
59,167589.403652825
60,140434.071496103
61,177749.506158418
62,206013.690097826
63,110845.22176164
64,225719.533709905
65,167456.94653502
66,134513.970133677
67,202629.341494454
68,183217.527976025
69,153010.195362815
70,171980.503346648
71,94725.1718610709
72,183113.387043505
73,185381.626675436
74,108975.778905675
75,145215.742999518
76,243795.395280131
77,195784.363957346
78,117624.457195729
79,115231.86757053
80,160445.60674559
81,154572.445407881
82,205582.010449615
83,209505.301414929
84,162498.424156293
85,182863.06683002
86,224062.626566033
87,158532.84760867
88,195230.248523635
89,115809.759689898
90,147544.456017919
91,139633.760624062
92,227015.962229937
93,177893.169947604
94,112076.885503459
95,183339.379991572
96,138610.907408832
97,177915.031476619
98,210950.72092762
99,202179.661802163
100,178437.920888402
101,185545.763875295
102,169159.484558212
103,194624.537275255
104,188984.617649508
105,139444.658407996
106,170030.981658712
107,181116.517065965
108,128353.783093845
109,122496.706701574
110,123043.362224688
111,98301.0604771997
112,184611.316581119
113,156083.390215009
114,137811.547179723
115,184064.984984926
116,151640.392537181
117,138642.020237353
